decimalLatitude,decimalLongitude,eventDate,species,label
35.573,15.491,2018-05-28T07:43:00+00:00,Green Sea Turtle,1
35.363,34.429,2018-06-09T15:15:00+00:00,Green Sea Turtle,1
11.2781,-73.8647,2015-06-01/2015-08-10,Green Sea Turtle,1
-16.43327,59.54857,2011-04-01T04:46:59,Green Sea Turtle,1
11.257,-73.79,2018-04-28,Green Sea Turtle,1
37.383,1.252,2018-02-10T08:37:00+00:00,Green Sea Turtle,1
31.5,-81.5,2004-03-11T06:44:19/2004-03-31T06:43:51,Green Sea Turtle,1
16.84615,55.17147,2011-04-30T07:42:37,Green Sea Turtle,1
37.28,-24.82,2000-08-26T14:37:00Z/2000-08-26T14:37:00Z,Green Sea Turtle,1
37.003,172.273,2004-06-15T16:07,Green Sea Turtle,1
-19.43287,52.72287,2011-01-16T03:23:35,Green Sea Turtle,1
29.843,-85.742,2013-06-24T10:42:44,Green Sea Turtle,1
41.178,147.825,2011-08-10T15:46,Green Sea Turtle,1
28.378133,-80.107067,1997-08-12,Green Sea Turtle,1
34.318,177.63,2011-04-19T15:02,Green Sea Turtle,1
39.465691,-73.079979,2016-09-13T06:34:00,Green Sea Turtle,1
31.484,-174.546,2007-01-15T05:47,Green Sea Turtle,1
39.206,-165.134,2000-07-12T14:00,Green Sea Turtle,1
34.962,140.407,2007-09-28T15:38,Green Sea Turtle,1
37.2719,3.2502,2018-07-17T08:52:00+00:00,Green Sea Turtle,1
37.7564,-25.8306,2016-06-17T10:31:00,Green Sea Turtle,1
41.129,150.471,2010-07-24T12:20,Green Sea Turtle,1
39.58,0.554,2017-11-03T07:53:00+00:00,Green Sea Turtle,1
31.775,175.106,2008-04-11T17:25,Green Sea Turtle,1
-16.5,-38.5,2013-03-11T17:18:11/2013-04-19T05:10:17,Green Sea Turtle,1
39.9928,-72.5822,2017-08-20T13:27:46,Green Sea Turtle,1
40.365,144.552,2011-09-25T17:26,Green Sea Turtle,1
10.30062,56.44398,2012-01-11T01:26:58,Green Sea Turtle,1
31.733332634,-58.5749988556,2003-02-21T00:00:00Z,Green Sea Turtle,1
38.822,-141.965,2000-11-09T08:15,Green Sea Turtle,1
30.29785,-80.441585,2009-06-10T11:57,Green Sea Turtle,1
19.9928,-87.4532,2015-05-20T09:40,Green Sea Turtle,1
37.9529,3.8361,2018-07-14T20:11:00+00:00,Green Sea Turtle,1
31.018,-153.991,2003-04-22T02:47:09,Green Sea Turtle,1
42.244,172.099,2010-10-08T07:29,Green Sea Turtle,1
38.923,174.621,2009-10-16T19:51,Green Sea Turtle,1
35.2123,-3.5144,2018-12-02T11:43:00+00:00,Green Sea Turtle,1
30.352,123.982,2011-08-28T05:17:20,Green Sea Turtle,1
40.17111,2.20147,2017-04-29T14:30:00+00:00,Green Sea Turtle,1
